region,keyEvent,name,sales,cost,sector
1,,Дилер 1,221,"16248,17",1
1,,Топ Карс Калуга,380,"1316,39",0
1,,Хит Моторс Славянка,195,"8956,3",2
1,,Бест Карс Москва,125,"5886,93",3
1,,МоторСпорт,104,"6882,62",3
1,,Хит Моторс Советская,78,"631,47",3
1,,Кар Премиум Восток,742,"8227,28",0
1,,Хит Моторс Заречье,832,"801,06",0
1,,Хит Моторс Химки,45,"1592,18",3
1,,Авто Центр Сколково,96,"15329,17",2
1,,Кар Премиум Нижний,412,"21221,12",1
1,,Дилер 12,394,"12441,09",1
1,,Бест Карс Юг,240,"10095,39",1
1,,Кар Премиум Запад,387,"14675,42",1
1,,Макси Моторс,150,"30154,96",2
1,,Хит Моторс Юг,430,"19627,85",1
1,,АвтоСтиль Ярославка,100,"18788,74",2
1,,Лакшери Моторс,257,"8107,34",0
2,,Кар Премиум Восток,154,"23550,22",2
2,,Топ Моторс Ростов,1266,"6326,4",0
2,,Дилер 21,63,"4853,68",3
2,,Хит Моторс Центр,135,"24680,11",2
2,,Дилер 23,90,"7557,21",3
2,,Кар Премиум Охта,1158,"7073,4",0
2,,Дилер 25,138,"13058,96",2
2,,Дилер 26,131,"10420,08",2
2,,Дилер 27,127,"5340,53",3
2,,Дилер 28,103,"10351,65",2
2,,Дилер 29,131,"4227,26",3
2,,Дилер 30,46,"7785,23",3
2,,Дилер 31,288,"4970,81",0
2,,Авто Центр Сочи,190,"2142,19",3
2,,АвтоСтиль Дубровка,243,"6915,58",0
2,,Лайм Моторс Кировск,225,"15619,05",1
2,,Дилер 35,195,"5238,87",3
2,,Радиатор Моторс,138,"5471,02",3
2,,АвтоСтиль Реутов,657,"16278,29",1
2,,АвтоСтиль Балашиха,173,"11431,59",2
3,,Дилер 39,133,"5699,26",3
3,,Дилер 40,67,"5399,77",3
3,,Дилер 41,153,"12000,93",2
3,,Авто Центр Мытищи,143,"11369,97",2
3,,Дилер 43,214,"3669,45",0
3,,Лайм Моторс Белгород,66,"13066,58",2
3,,Дилер 45,314,"10784,88",1
3,,Дилер 46,80,"9147,95",2
3,,Дилер 47,169,"5445,07",3
4,,Дилер 48,69,"4579,01",3
4,,Дилер 49,300,"7075,7",0
4,,Дилер 50,65,"11333,27",2
4,,АвтоСтиль Тверь,125,"18185,3",2
4,,Дилер 52,200,"3802,62",0
4,,Дилер 53,91,"7397,14",3
4,,Топ Карс Отрадное,56,3940,3
4,,Дилер 55,365,"5154,99",0
4,,Хит Моторс Северо-Запад,100,"4837,85",3
4,,Дилер 57,70,"17093,17",2
4,,Дилер 58,120,"8601,6",3
4,,Дилер 59,130,"3333,01",3
4,,Дилер 60,116,"5149,29",3
4,,Дилер 61,123,"5318,06",3
4,,Авто Центр Воронеж,34,"7463,69",3
4,,Дилер 63,97,"17463,68",2
5,,Дилер 64,52,"8403,35",3
5,,Дилер 65,96,"12809,79",2
5,,Дилер 66,50,"6860,4",3
5,,Дилер 67,76,"2351,13",3
5,,Дилер 68,118,"2740,84",3
6,,Дилер 69,83,"3473,92",3
6,,Лайм Моторс Казань,113,"7964,73",3
6,,Дилер 71,338,"6803,61",0
6,,Дилер 72,100,"10378,29",2
6,,Дилер 73,85,"15610,92",2
6,,Дилер 74,55,"7450,28",3
6,,Дилер 75,106,"9415,2",2
6,,Дилер 76,150,"4500,81",3
6,,Хит Моторс Юг,132,"10453,93",2
6,,Лайм Моторс Всеволожск,65,"4373,47",3
6,,Дилер 79,196,"8615,44",3
6,,Дилер 80,40,"5635,12",3
6,,Дилер 81,83,"10999,91",2
6,,Дилер 82,121,"6206,3",3
7,,Вест Кост Кастомс,615,"11834,42",1
7,,Дилер 84,603,"11973,01",1
7,,Дилер 85,577,"13340,49",1
8,,Дилер 86,86,"7494,24",3
8,,Топ Карс Петропавловск-Камчатский,56,"8622,36",3
8,,Дилер 88,51,"2219,82",3
8,,Дилер 89,67,"13785,99",2
8,,Дилер 90,275,"6210,26",0
8,,Дилер 91,81,"8884,26",3
8,,Дилер 92,259,"5358,78",0
8,,Дилер 93,149,"8958,79",2
9,,Дилер 94,64,"5539,89",3
9,,Топ Карс Ярославль,149,"9474,86",2
9,,Топ Карс Люблино,80,"7021,41",3
9,,Дилер 97,49,"7282,22",3
9,,Дилер 98,167,"5945,19",3
9,,Дилер 99,66,"6169,61",3
9,,Дилер 100,142,"15158,35",2
9,,Дилер 101,194,"6704,05",3
9,,Топ Карс Екатеринбург,357,"2751,05",0
9,,Дилер 103,115,"6862,23",3
